胖大海	西黃耆膠黏素Bassorin
栝蔞根	天花粉蛋白Trichosanthin
白芨	黏液質：白芨葡萄甘露聚糖 -Bletilla Glucomannan
牛膝	黏液質、皂素水解後會產生齊墩果酸（Oleanolic acid)
大棗	D-fructose
枸杞子	生物鹼：甜菜鹼（Betaine)
地骨皮	生物鹼：甜菜鹼（Betaine)
黃精	多醣類：黃精多醣
冬蟲夏草	多醣體：中性甘露糖基葡萄聚糖（Mannoglucan)
紫草	Naphthoquinone類、Shikonin紫草素
連翹	Lignans:Arctigenin（主要）-Glycosides:Arctin
厚朴	生物鹼：Magnocurarine -Lignans:Magnolol
蘇木	Brasilin:黃色，其氧化後變成紅褐色的Brasilein
當歸	揮發油類：以Ligustilide及Butylidene phthalide爲主
杜仲	Ligninoglycosides:Pinoresinol diglucoside->爲杜仲降血壓活性成分
補胎脂	Coumarins:Psorien及Angelicin
淫羊藿	類黃酮（Flavonoids):Icariin(淫羊藿苷）
五味子	Lignans:Schizandrin,Gomisins
訶子	主要含Tannins,賦予訶子收歛作用
蛇床子	Coumarins:Osthol 多種揮發油
