紫蘇	Monoterpenoids:紫蘇醛perillaldehyde
防風	油脂及揮發油：-coumarins -Chromones:Hamaudol
荊芥	單萜類：d-menthone(右旋薄荷酮）
辛夷	-揮發油：Cineole,alpha-Pinene -Lignans,Magnolin
金銀花	Monoterpenoids:Pinene Linalool
蒲公英	三萜成分：蒲公英固醇Taraxasterol
細辛	-木脂素（Lignan):l-Asarinin -揮發油：Methyleugenol -辛味成分：Pellitorine
蒼朮	揮發油：Atractylol,Hinesol,beta-Eudesmol
茯苓	聚醣：beta-Pachymaran
澤瀉	Protostane type 三萜類：Alisol A-C,O,P(澤瀉醇） Guaiane型肝炎倍半萜類
半夏	-生物鹼：L-Ephedrine -蛋白質：半夏蛋白（Pinellin)
桑白皮	三萜類：alpha-amyrin(alpha-香樹脂醇）、Betulinic acid(白樺脂酸）
沉香	揮發油：Benzylactetone,p-methoxybenzylacetone
薑黃	揮發油：alpha-Turmerone,Zingiberene,Sabinene Curcumin(薑黃素）
陳皮	揮發油：d-Limonene -類黃酮：Hesperidin,Neohesperidin,Naringin
艾葉	Artemisia argyi
川芎	Phthalide(苯酞）：Cnidilide,Neocnidilide,Ligustillide,Senkynolide
丹參	雙萜類：Tanshinone(丹參酮）、Cryptotanshinone -苯丙烷類
黃耆	多醣體：Astragalan I-III -三萜類：Cycloartane
白朮	倍半萜類（sesquiterpenes)：蒼朮酮（Atractylon)最多
覆盆子	Labdane型二萜苷：GoshonosideF1-F7
升麻	Phenylpropanoids:Isoferulic acid,Ferulic acid,Caffeic acid -三萜類：Cimigenol
